英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	varchar	
SECNAME	股票简称	varchar	
DECLAREDATE	公告日期	date	
VARYDATE	变动日期	date	
F001V	变动原因编码	varchar	
F002V	变动原因	varchar	
F003N	总股本	decimal	单位：万股
F004N	未流通股份	decimal	单位：万股;
F005N	发起人股份	decimal	单位：万股；
F006N	国家持股	decimal	单位：万股
F007N	国有法人持股	decimal	单位：万股
F008N	境内法人持股	decimal	单位：万股
F009N	境外法人持股	decimal	单位：万股
F010N	自然人持股	decimal	单位：万股
F011N	募集法人股	decimal	单位：万股
F012N	内部职工股	decimal	单位：万股
F013N	转配股	decimal	单位：万股
F014N	其他流通受限股份	decimal	单位：万股
F015N	优先股	decimal	单位：万股
F016N	其他未流通股	decimal	单位：万股
F021N	已流通股份	decimal	单位：万股；
F022N	人民币普通股	decimal	单位：万股
F023N	境内上市外资股（B股）	decimal	单位：万股
F024N	境外上市外资股（H股）	decimal	单位：万股
F025N	高管股	decimal	单位：万股
F026N	其他流通股	decimal	单位：万股
F028N	流通受限股份	decimal	单位：万股
F017N	配售法人股	decimal	单位：万股
F018N	战略投资者持股	decimal	单位：万股
F019N	证券投资基金持股	decimal	单位：万股
F020N	一般法人持股	decimal	单位：万股
F029N	国家持股（受限）	decimal	单位：万股
F030N	国有法人持股（受限）	decimal	单位：万股
F031N	其他内资持股（受限）	decimal	单位：万股
F032N	其中：境内法人持股	decimal	单位：万股
F033N	其中：境内自然人持股	decimal	单位：万股
F034N	外资持股（受限）	decimal	单位：万股
F035N	其中：境外法人持股	decimal	单位：万股
F036N	其中：境外自然人持股	decimal	单位：万股
F037N	其中：限售高管股	decimal	其中：限售高管股
F038N	其中：限售B股	decimal	其中：限售B股
F040N	其中：限售H股	decimal	其中：限售H股
F027C	最新记录标识	char	0-否，1-是；
