英文名称 	中文名称 	类型 	说明
SECCODE	股票代码	VARCHAR	
SECNAME	股票简称	VARCHAR	
DECLAREDATE	公告日期	DATE	
STARTDATE	开始日期	DATE	
ENDDATE	截止日期	DATE	
F001D	报告年度	DATE	
F002V	合并类型编码	VARCHAR	
F003V	合并类型	VARCHAR	
F004V	报表来源编码	VARCHAR	
F005V	报表来源	VARCHAR	
F066N	客户贷款及垫款净减少额	DECIMAL(18,2)	
F007N	客户存款和同业存放款项净增加额	DECIMAL(18,2)	
F008N	向中央银行借款净增加额	DECIMAL(18,2)	
F067N	存放中央银行和同业款项净减少额	DECIMAL(18,2)	
F009N	向其他金融机构拆入资金净增加额	DECIMAL(18,2)	
F010N	收取利息、手续费及佣金的现金	DECIMAL(18,2)	
F011N	处置交易性金融资产净增加额	DECIMAL(18,2)	
F012N	拆入资金净增加额	DECIMAL(18,2)	
F013N	回购业务资金净增加额	DECIMAL(18,2)	
F014N	销售商品、提供劳务收到的现金	DECIMAL(18,2)	
F015N	收到的税费返还	DECIMAL(18,2)	
F016N	收到原保险合同保费取得的现金	DECIMAL(18,2)	
F017N	收到再保业务现金净额	DECIMAL(18,2)	
F018N	保户储金及投资款净增加额	DECIMAL(18,2)	
F104N	融出资金净减少额	DECIMAL(18,2)	
F105N	代理买卖证券收到的现金净额	DECIMAL(18,2)	
F019N	收到其他与经营活动有关的现金	DECIMAL(18,2)	
F020N	经营活动现金流入小计	DECIMAL(18,2)	
F021N	客户贷款及垫款净增加额	DECIMAL(18,2)	
F059N	客户存放及同业存放款项净减少额	DECIMAL(18,2)	
F022N	存放中央银行和同业款项净增加额	DECIMAL(18,2)	
F060N	向中央银行借款净减少额	DECIMAL(18,2)	
F061N	向其他金融机构拆出资金净增加额	DECIMAL(18,2)	
F064N	购入交易性金融资产净增加额	DECIMAL(18,2)	
F065N	回购业务资金净减少额	DECIMAL(18,2)	
F023N	支付利息、手续费及佣金的现金	DECIMAL(18,2)	
F024N	购买商品、提供劳务支付的现金	DECIMAL(18,2)	
F062N	支付再保业务现金净额	DECIMAL(18,2)	
F063N	保户储金及投资款净减少额	DECIMAL(18,2)	
F025N	支付原保险合同赔付款项的现金	DECIMAL(18,2)	
F026N	支付保单红利的现金	DECIMAL(18,2)	
F027N	支付给职工以及为职工支付的现金	DECIMAL(18,2)	
F028N	支付的各项税费	DECIMAL(18,2)	
F106N	融出资金净增加额	DECIMAL(18,2)	
F107N	代理买卖证券支付的现金净额	DECIMAL(18,2	
F108N	拆入资金净减少额	DECIMAL(18,2)	
F029N	支付其他与经营活动有关的现金	DECIMAL(18,2)	
F030N	经营活动现金流出小计	DECIMAL(18,2)	
F031N	经营活动产生的现金流量净额	DECIMAL(18,2)	
F033N	收回投资收到的现金	DECIMAL(18,2)	
F034N	取得投资收益收到的现金	DECIMAL(18,2)	
F035N	收到其他与投资活动有关的现金	DECIMAL(18,2)	
F068N	处置固定资产、无形资产和其他长期资产所收回的现金	DECIMAL(18,2)	
F036N	投资活动现金流入小计	DECIMAL(18,2)	
F037N	投资支付的现金	DECIMAL(18,2)	
F038N	质押贷款净增加额	DECIMAL(18,2)	
F039N	购建固定资产、无形资产和其他长期资产支付的现金	DECIMAL(18,2)	
F040N	支付其他与投资活动有关的现金	DECIMAL(18,2)	
F041N	投资活动现金流出小计	DECIMAL(18,2)	
F042N	投资活动产生的现金流量净额	DECIMAL(18,2)	
F044N	吸收投资收到的现金	DECIMAL(18,2)	
F045N	发行债券收到的现金	DECIMAL(18,2)	
F046N	取得借款收到的现金	DECIMAL(18,2)	
F047N	收到其他与筹资活动有关的现金	DECIMAL(18,2)	
F048N	筹资活动现金流入小计	DECIMAL(18,2)	
F049N	偿还债务支付的现金	DECIMAL(18,2)	
